EmployeeNumber,Age,Gender,Education,EducationField,MaritalStatus,JobRole,JobLevel,Department,MonthlyIncome,PercentSalaryHike,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,PerformanceRating,StandardHours,OverTime,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TrainingTimesLastYear,YearsSinceLastPromotion,DistanceFromHome,WorkLifeBalance,BusinessTravel,Churn
1,41,Female,2,Life Sciences,Single,Sales Executive,2,Sales,5993,11,3,4,2,1,3,80,Yes,8,8,6,0,5,1,0,1,4,Travel_Rarely,Yes
2,49,Male,1,Life Sciences,Married,Research Scientist,2,Research & Development,5130,23,2,2,3,4,4,80,No,1,10,10,3,7,8,1,3,7,Travel_Frequently,No
4,37,Male,2,Other,Single,Laboratory Technician,1,Research & Development,2090,15,2,3,4,2,3,80,Yes,6,7,0,3,0,2,0,3,0,Travel_Rarely,Yes
5,33,Female,4,Life Sciences,Married,Research Scientist,1,Research & Development,2909,11,3,3,4,3,3,80,Yes,1,8,8,3,0,3,3,3,7,Travel_Frequently,No
7,27,Male,1,Medical,Married,Laboratory Technician,1,Research & Development,3468,12,3,2,1,4,3,80,No,9,6,2,3,2,2,2,3,2,Travel_Rarely,No
8,32,Male,2,Life Sciences,Single,Laboratory Technician,1,Research & Development,3068,13,3,4,4,3,3,80,No,0,8,7,2,6,2,3,2,7,Travel_Frequently,No
10,59,Female,3,Medical,Married,Laboratory Technician,1,Research & Development,2670,20,4,1,3,1,4,80,Yes,4,12,1,3,0,3,0,2,0,Travel_Rarely,No
11,30,Male,1,Life Sciences,Divorced,Laboratory Technician,1,Research & Development,2693,22,3,3,4,2,4,80,No,1,1,1,2,0,24,0,3,0,Travel_Rarely,No
12,38,Male,3,Life Sciences,Single,Manufacturing Director,3,Research & Development,9526,21,2,3,4,2,4,80,No,0,10,9,2,8,23,1,3,7,Travel_Frequently,No
13,36,Male,3,Medical,Married,Healthcare Representative,2,Research & Development,5237,13,3,3,3,2,3,80,No,6,17,7,3,7,27,7,2,7,Travel_Rarely,No
14,35,Male,3,Medical,Married,Laboratory Technician,1,Research & Development,2426,13,4,2,1,3,3,80,No,0,6,5,5,3,16,0,3,4,Travel_Rarely,No
15,29,Female,2,Life Sciences,Single,Laboratory Technician,2,Research & Development,4193,12,2,3,4,4,3,80,Yes,0,10,9,3,8,15,0,3,5,Travel_Rarely,No
16,31,Male,1,Life Sciences,Divorced,Research Scientist,1,Research & Development,2911,17,3,3,1,4,3,80,No,1,5,5,1,3,26,4,2,2,Travel_Rarely,No
18,34,Male,2,Medical,Divorced,Laboratory Technician,1,Research & Development,2661,11,3,4,2,3,3,80,No,0,3,2,2,2,19,1,3,2,Travel_Rarely,No
19,28,Male,3,Life Sciences,Single,Laboratory Technician,1,Research & Development,2028,14,2,3,3,2,3,80,Yes,5,6,4,4,3,24,0,3,2,Travel_Rarely,Yes
20,29,Female,4,Life Sciences,Divorced,Manufacturing Director,3,Research & Development,9980,11,4,1,2,3,3,80,No,1,10,10,1,8,21,8,3,9,Travel_Rarely,No
21,32,Male,2,Life Sciences,Divorced,Research Scientist,1,Research & Development,3298,12,4,2,1,4,3,80,Yes,0,7,6,5,5,5,0,2,2,Travel_Rarely,No
22,22,Male,2,Medical,Divorced,Laboratory Technician,1,Research & Development,2935,13,4,4,4,2,3,80,Yes,1,1,1,2,0,16,0,2,0,Non-Travel,No
23,53,Female,4,Life Sciences,Married,Manager,4,Sales,15427,16,2,4,1,3,3,80,No,2,31,25,3,7,2,3,3,8,Travel_Rarely,No
24,38,Male,3,Life Sciences,Single,Research Scientist,1,Research & Development,3944,11,3,4,4,3,3,80,Yes,5,6,3,3,2,2,1,3,2,Travel_Rarely,No
26,24,Female,2,Other,Divorced,Manufacturing Director,2,Research & Development,4011,18,4,3,1,4,3,80,No,0,5,4,5,3,11,1,2,2,Non-Travel,No
27,36,Male,4,Life Sciences,Single,Sales Representative,1,Sales,3407,23,2,1,3,2,4,80,No,7,10,5,4,3,9,0,3,3,Travel_Rarely,Yes
